model_uid,model_source,model_name,weights
devtimm_eva_giant_patch14_336_clip_ft_in1k,timm,eva_giant_patch14_336,clip_ft_in1k
devtimm_eva_giant_patch14_336_m30m_ft_in22k_in1k,timm,eva_giant_patch14_336,m30m_ft_in22k_in1k
devtimm_eva_giant_patch14_560_m30m_ft_in22k_in1k,timm,eva_giant_patch14_560,m30m_ft_in22k_in1k
devtimm_eva_large_patch14_196_in22k_ft_in1k,timm,eva_large_patch14_196,in22k_ft_in1k
devtimm_eva_large_patch14_196_in22k_ft_in22k_in1k,timm,eva_large_patch14_196,in22k_ft_in22k_in1k
devtimm_eva_large_patch14_336_in22k_ft_in1k,timm,eva_large_patch14_336,in22k_ft_in1k
devtimm_eva_large_patch14_336_in22k_ft_in22k_in1k,timm,eva_large_patch14_336,in22k_ft_in22k_in1k
devtimm_fbnetc_100_rmsp_in1k,timm,fbnetc_100,rmsp_in1k
devtimm_fbnetv3_b_ra2_in1k,timm,fbnetv3_b,ra2_in1k
devtimm_fbnetv3_d_ra2_in1k,timm,fbnetv3_d,ra2_in1k
devtimm_fbnetv3_g_ra2_in1k,timm,fbnetv3_g,ra2_in1k
devtimm_flexivit_base_300ep_in1k,timm,flexivit_base,300ep_in1k
devtimm_flexivit_base_300ep_in21k,timm,flexivit_base,300ep_in21k
devtimm_flexivit_base_600ep_in1k,timm,flexivit_base,600ep_in1k
devtimm_flexivit_base_1000ep_in21k,timm,flexivit_base,1000ep_in21k
devtimm_flexivit_base_1200ep_in1k,timm,flexivit_base,1200ep_in1k
devtimm_flexivit_base_patch16_in21k,timm,flexivit_base,patch16_in21k
devtimm_flexivit_base_patch30_in21k,timm,flexivit_base,patch30_in21k
devtimm_flexivit_large_300ep_in1k,timm,flexivit_large,300ep_in1k
devtimm_flexivit_large_600ep_in1k,timm,flexivit_large,600ep_in1k
devtimm_flexivit_large_1200ep_in1k,timm,flexivit_large,1200ep_in1k
devtimm_flexivit_small_300ep_in1k,timm,flexivit_small,300ep_in1k
devtimm_flexivit_small_600ep_in1k,timm,flexivit_small,600ep_in1k
devtimm_flexivit_small_1200ep_in1k,timm,flexivit_small,1200ep_in1k
devtimm_focalnet_base_lrf_ms_in1k,timm,focalnet_base_lrf,ms_in1k
devtimm_focalnet_base_srf_ms_in1k,timm,focalnet_base_srf,ms_in1k
devtimm_focalnet_huge_fl3_ms_in22k,timm,focalnet_huge_fl3,ms_in22k
devtimm_focalnet_huge_fl4_ms_in22k,timm,focalnet_huge_fl4,ms_in22k
devtimm_focalnet_large_fl3_ms_in22k,timm,focalnet_large_fl3,ms_in22k
devtimm_focalnet_large_fl4_ms_in22k,timm,focalnet_large_fl4,ms_in22k
devtimm_focalnet_small_lrf_ms_in1k,timm,focalnet_small_lrf,ms_in1k
devtimm_focalnet_small_srf_ms_in1k,timm,focalnet_small_srf,ms_in1k
devtimm_focalnet_tiny_lrf_ms_in1k,timm,focalnet_tiny_lrf,ms_in1k
devtimm_focalnet_tiny_srf_ms_in1k,timm,focalnet_tiny_srf,ms_in1k
devtimm_focalnet_xlarge_fl3_ms_in22k,timm,focalnet_xlarge_fl3,ms_in22k
devtimm_focalnet_xlarge_fl4_ms_in22k,timm,focalnet_xlarge_fl4,ms_in22k
devtimm_gc_efficientnetv2_rw_t_agc_in1k,timm,gc_efficientnetv2_rw_t,agc_in1k
devtimm_gcresnet33ts_ra2_in1k,timm,gcresnet33ts,ra2_in1k
devtimm_gcresnet50t_ra2_in1k,timm,gcresnet50t,ra2_in1k
devtimm_gcresnext26ts_ch_in1k,timm,gcresnext26ts,ch_in1k
devtimm_gcresnext50ts_ch_in1k,timm,gcresnext50ts,ch_in1k
devtimm_gcvit_base,timm,gcvit_base,
devtimm_gcvit_small,timm,gcvit_small,
devtimm_gcvit_tiny,timm,gcvit_tiny,
devtimm_gcvit_xtiny,timm,gcvit_xtiny,
devtimm_gcvit_xxtiny,timm,gcvit_xxtiny,
devtimm_gernet_l_idstcv_in1k,timm,gernet_l,idstcv_in1k
devtimm_gernet_m_idstcv_in1k,timm,gernet_m,idstcv_in1k
devtimm_gernet_s_idstcv_in1k,timm,gernet_s,idstcv_in1k
devtimm_ghostnet_100,timm,ghostnet_100,
